 ID        Timestamp_RX        Timestamp_TX  Delay   Jitter
 12 1739130260010995690 1739130260010962701  32989      0.0
 13 1739130260011990392 1739130260011958531  31861   1128.0
 14 1739130260012990679 1739130260012959288  31391    470.0
 15 1739130260013997597 1739130260013965611  31986    595.0
 16 1739130260015002579 1739130260014971340  31239    747.0
 17 1739130260015998046 1739130260015965020  33026   1787.0
 18 1739130260016997148 1739130260016962885  34263   1237.0
 19 1739130260017998060 1739130260017963897  34163    100.0
 20 1739130260018991602 1739130260018958821  32781   1382.0
 21 1739130260019996950 1739130260019963540  33410    629.0
 22 1739130260021123221 1739130260020961097 162124 128714.0
 23 1739130260021998441 1739130260021961979  36462 125662.0
 24 1739130260022994743 1739130260022959972  34771   1691.0
 25 1739130260023992424 1739130260023960956  31468   3303.0
 26 1739130260024992923 1739130260024960080  32843   1375.0
 27 1739130260025993221 1739130260025960915  32306    537.0
 28 1739130260026998489 1739130260026961024  37465   5159.0
 29 1739130260027993354 1739130260027960105  33249   4216.0
 30 1739130260028994726 1739130260028961542  33184     65.0
 31 1739130260029997786 1739130260029962752  35034   1850.0
 32 1739130260030993855 1739130260030961201  32654   2380.0
 33 1739130260031991249 1739130260031957911  33338    684.0
 34 1739130260032976231 1739130260032929316  46915  13577.0
 35 1739130260033998559 1739130260033964731  33828  13087.0
 36 1739130260034996241 1739130260034960287  35954   2126.0
 37 1739130260035993523 1739130260035962071  31452   4502.0
 38 1739130260036997427 1739130260036962324  35103   3651.0
 39 1739130260037994747 1739130260037962204  32543   2560.0
 40 1739130260038995521 1739130260038960754  34767   2224.0
 41 1739130260039995051 1739130260039964549  30502   4265.0
 42 1739130260041009373 1739130260040970885  38488   7986.0
 43 1739130260041990851 1739130260041959736  31115   7373.0
 44 1739130260042998251 1739130260042959694  38557   7442.0
 45 1739130260043993699 1739130260043960692  33007   5550.0
 46 1739130260044993331 1739130260044958461  34870   1863.0
 47 1739130260045992518 1739130260045958406  34112    758.0
 49 1739130260047992129 1739130260047958323  33806    306.0
 50 1739130260048993577 1739130260048961503  32074   1732.0
 51 1739130260050002595 1739130260049962602  39993   7919.0
 52 1739130260050992301 1739130260050961268  31033   8960.0
 53 1739130260051995504 1739130260051961223  34281   3248.0
 54 1739130260052995226 1739130260052964151  31075   3206.0
 55 1739130260053996826 1739130260053962349  34477   3402.0
 56 1739130260054991090 1739130260054960589  30501   3976.0
 57 1739130260055992727 1739130260055958273  34454   3953.0
 58 1739130260056990964 1739130260056959415  31549   2905.0
 59 1739130260057993302 1739130260057959045  34257   2708.0
 60 1739130260058990506 1739130260058958863  31643   2614.0
 61 1739130260059993676 1739130260059958746  34930   3287.0
 62 1739130260060989475 1739130260060958668  30807   4123.0
 63 1739130260061997587 1739130260061959259  38328   7521.0
 64 1739130260062992926 1739130260062963001  29925   8403.0
 65 1739130260063996016 1739130260063960237  35779   5854.0
 66 1739130260064999727 1739130260064966121  33606   2173.0
 67 1739130260066000077 1739130260065964537  35540   1934.0
 68 1739130260066996568 1739130260066964735  31833   3707.0
 69 1739130260067996534 1739130260067962647  33887   2054.0
 70 1739130260068998890 1739130260068961305  37585   3698.0
 71 1739130260069998389 1739130260069958050  40339   2754.0
 72 1739130260070990163 1739130260070956579  33584   6755.0
 73 1739130260071996757 1739130260071957088  39669   6085.0
 74 1739130260072993936 1739130260072957947  35989   3680.0
 75 1739130260074001074 1739130260073960815  40259   4270.0
 76 1739130260074994013 1739130260074957900  36113   4146.0
 77 1739130260075993663 1739130260075957683  35980    133.0
 78 1739130260076991414 1739130260076957876  33538   2442.0
 79 1739130260078000592 1739130260077959831  40761   7223.0
 80 1739130260078997587 1739130260078959374  38213   2548.0
 81 1739130260079992962 1739130260079957851  35111   3102.0
 82 1739130260080996963 1739130260080958472  38491   3380.0
 83 1739130260081997650 1739130260081960213  37437   1054.0
 84 1739130260082996030 1739130260082958153  37877    440.0
 85 1739130260083992931 1739130260083957954  34977   2900.0
 86 1739130260084998220 1739130260084959693  38527   3550.0
 87 1739130260085991037 1739130260085957567  33470   5057.0
 88 1739130260086995316 1739130260086957741  37575   4105.0
 89 1739130260087992531 1739130260087957653  34878   2697.0
 90 1739130260088996149 1739130260088958098  38051   3173.0
 91 1739130260089992689 1739130260089959400  33289   4762.0
 92 1739130260091001215 1739130260090960783  40432   7143.0
 93 1739130260091995045 1739130260091960016  35029   5403.0
 94 1739130260092999275 1739130260092959845  39430   4401.0
 95 1739130260093993018 1739130260093958299  34719   4711.0
 96 1739130260094995606 1739130260094958318  37288   2569.0
 97 1739130260095991299 1739130260095956861  34438   2850.0
 98 1739130260096993704 1739130260096956254  37450   3012.0
 99 1739130260097993710 1739130260097959019  34691   2759.0
100 1739130260098995827 1739130260098959103  36724   2033.0
101 1739130260099996270 1739130260099961476  34794   1930.0
102 1739130260100997563 1739130260100960287  37276   2482.0
103 1739130260101993521 1739130260101957729  35792   1484.0
104 1739130260102995388 1739130260102958944  36444    652.0
