 ID        Timestamp_RX        Timestamp_TX  Delay  Jitter
 11 1740526363009982154 1740526363009952647  29507     0.0
 12 1740526363010981860 1740526363010952714  29146   361.0
 13 1740526363011988441 1740526363011952694  35747  6601.0
 14 1740526363012985320 1740526363012952580  32740  3007.0
 15 1740526363013985715 1740526363013952644  33071   331.0
 16 1740526363014982354 1740526363014952705  29649  3422.0
 17 1740526363015984153 1740526363015952657  31496  1847.0
 18 1740526363016986564 1740526363016952624  33940  2444.0
 19 1740526363017985536 1740526363017952699  32837  1103.0
 20 1740526363018985458 1740526363018952668  32790    47.0
 21 1740526363019984110 1740526363019952702  31408  1382.0
 22 1740526363020982499 1740526363020952648  29851  1557.0
 23 1740526363021988824 1740526363021953397  35427  5576.0
 24 1740526363022984916 1740526363022952649  32267  3160.0
 25 1740526363023987374 1740526363023952701  34673  2406.0
 26 1740526363024982876 1740526363024952724  30152  4521.0
 27 1740526363025992027 1740526363025952609  39418  9266.0
 28 1740526363026986640 1740526363026952681  33959  5459.0
 29 1740526363027986612 1740526363027952732  33880    79.0
 30 1740526363028986476 1740526363028952744  33732   148.0
 31 1740526363029984486 1740526363029952627  31859  1873.0
 32 1740526363030988020 1740526363030952755  35265  3406.0
 33 1740526363031988920 1740526363031952704  36216   951.0
 34 1740526363032987436 1740526363032952512  34924  1292.0
 35 1740526363033987127 1740526363033952709  34418   506.0
 36 1740526363035004027 1740526363034952737  51290 16872.0
 37 1740526363035988262 1740526363035952701  35561 15729.0
 38 1740526363036990926 1740526363036952536  38390  2829.0
 39 1740526363037992982 1740526363037952661  40321  1931.0
 40 1740526363038982683 1740526363038952657  30026 10295.0
 41 1740526363039984677 1740526363039952656  32021  1995.0
 42 1740526363040986380 1740526363040952616  33764  1743.0
 43 1740526363041984727 1740526363041952665  32062  1702.0
 44 1740526363042985104 1740526363042952650  32454   392.0
 45 1740526363043985720 1740526363043952710  33010   556.0
 46 1740526363044982324 1740526363044952692  29632  3378.0
 47 1740526363045986194 1740526363045952758  33436  3804.0
 48 1740526363046984090 1740526363046952656  31434  2002.0
 49 1740526363047988449 1740526363047952784  35665  4231.0
 50 1740526363048983877 1740526363048952490  31387  4278.0
 51 1740526363049982105 1740526363049952778  29327  2060.0
 52 1740526363050985013 1740526363050952672  32341  3014.0
 53 1740526363051988653 1740526363051952691  35962  3621.0
 54 1740526363052986815 1740526363052952572  34243  1719.0
 55 1740526363053982171 1740526363053952716  29455  4788.0
 56 1740526363054985341 1740526363054952688  32653  3198.0
 57 1740526363055986997 1740526363055952673  34324  1671.0
 58 1740526363056982336 1740526363056952587  29749  4575.0
 59 1740526363057985892 1740526363057952684  33208  3459.0
 60 1740526363058985273 1740526363058952712  32561   647.0
 61 1740526363059988306 1740526363059952702  35604  3043.0
 62 1740526363060982670 1740526363060952790  29880  5724.0
 63 1740526363061981802 1740526363061952643  29159   721.0
 64 1740526363063002767 1740526363062952768  49999 20840.0
 65 1740526363063988838 1740526363063952754  36084 13915.0
 66 1740526363064985798 1740526363064952813  32985  3099.0
 67 1740526363065985967 1740526363065952753  33214   229.0
 68 1740526363066984618 1740526363066952746  31872  1342.0
 69 1740526363067989184 1740526363067952805  36379  4507.0
 70 1740526363068983198 1740526363068952694  30504  5875.0
 71 1740526363069981353 1740526363069952633  28720  1784.0
 72 1740526363070985534 1740526363070952739  32795  4075.0
 73 1740526363071987526 1740526363071952684  34842  2047.0
 74 1740526363072986170 1740526363072952614  33556  1286.0
 75 1740526363073982771 1740526363073952722  30049  3507.0
 76 1740526363074985463 1740526363074952678  32785  2736.0
 77 1740526363075987304 1740526363075952729  34575  1790.0
 78 1740526363076982706 1740526363076952567  30139  4436.0
 79 1740526363077986011 1740526363077952753  33258  3119.0
 80 1740526363078984623 1740526363078952797  31826  1432.0
 81 1740526363079989153 1740526363079952794  36359  4533.0
 82 1740526363080982372 1740526363080952588  29784  6575.0
 83 1740526363081982162 1740526363081952724  29438   346.0
 84 1740526363082985365 1740526363082952759  32606  3168.0
 85 1740526363083987426 1740526363083952722  34704  2098.0
 86 1740526363084986542 1740526363084952697  33845   859.0
 87 1740526363085982534 1740526363085952765  29769  4076.0
 88 1740526363086984461 1740526363086953425  31036  1267.0
 89 1740526363087990746 1740526363087953227  37519  6483.0
 90 1740526363088987235 1740526363088953104  34131  3388.0
 91 1740526363089992206 1740526363089953439  38767  4636.0
 92 1740526363090987311 1740526363090953620  33691  5076.0
 93 1740526363091992088 1740526363091953590  38498  4807.0
 94 1740526363092988524 1740526363092953225  35299  3199.0
 95 1740526363093985386 1740526363093953293  32093  3206.0
 96 1740526363094987512 1740526363094952916  34596  2503.0
 97 1740526363095988652 1740526363095953065  35587   991.0
 98 1740526363096989173 1740526363096953329  35844   257.0
 99 1740526363097985247 1740526363097953294  31953  3891.0
100 1740526363098983618 1740526363098952833  30785  1168.0
101 1740526363099989630 1740526363099952958  36672  5887.0
102 1740526363100987120 1740526363100952968  34152  2520.0
103 1740526363101989413 1740526363101953404  36009  1857.0
104 1740526363102985502 1740526363102952906  32596  3413.0
105 1740526363103985683 1740526363103952975  32708   112.0
106 1740526363105006085 1740526363104953054  53031 20323.0
107 1740526363105988322 1740526363105953442  34880 18151.0
108 1740526363106992657 1740526363106953138  39519  4639.0
109 1740526363107985784 1740526363107952919  32865  6654.0
110 1740526363108984742 1740526363108953170  31572  1293.0
111 1740526363109988310 1740526363109953137  35173  3601.0
112 1740526363110985757 1740526363110952859  32898  2275.0
113 1740526363111989609 1740526363111952967  36642  3744.0
114 1740526363112984375 1740526363112952859  31516  5126.0
115 1740526363113984542 1740526363113953222  31320   196.0
116 1740526363114988054 1740526363114953060  34994  3674.0
117 1740526363115989822 1740526363115953271  36551  1557.0
118 1740526363116986974 1740526363116952787  34187  2364.0
119 1740526363117983212 1740526363117952881  30331  3856.0
120 1740526363118982876 1740526363118952855  30021   310.0
121 1740526363119989900 1740526363119953080  36820  6799.0
122 1740526363120987167 1740526363120953002  34165  2655.0
123 1740526363121987136 1740526363121953073  34063   102.0
124 1740526363122984825 1740526363122953142  31683  2380.0
125 1740526363123988914 1740526363123952911  36003  4320.0
126 1740526363124985298 1740526363124952529  32769  3234.0
127 1740526363125986325 1740526363125952558  33767   998.0
128 1740526363126987558 1740526363126952493  35065  1298.0
129 1740526363127995599 1740526363127952536  43063  7998.0
130 1740526363128988277 1740526363128952843  35434  7629.0
131 1740526363129982918 1740526363129952845  30073  5361.0
132 1740526363130982567 1740526363130952814  29753   320.0
133 1740526363131988372 1740526363131953105  35267  5514.0
134 1740526363132986394 1740526363132952993  33401  1866.0
135 1740526363133987437 1740526363133952794  34643  1242.0
136 1740526363134983539 1740526363134952858  30681  3962.0
137 1740526363135990086 1740526363135953076  37010  6329.0
138 1740526363136986694 1740526363136952905  33789  3221.0
139 1740526363137985353 1740526363137953498  31855  1934.0
140 1740526363138987143 1740526363138952883  34260  2405.0
141 1740526363139989496 1740526363139953111  36385  2125.0
142 1740526363141003894 1740526363140952686  51208 14823.0
143 1740526363141987013 1740526363141953403  33610 17598.0
144 1740526363142983112 1740526363142952942  30170  3440.0
145 1740526363143990196 1740526363143953170  37026  6856.0
146 1740526363144991838 1740526363144953462  38376  1350.0
147 1740526363145986832 1740526363145952871  33961  4415.0
148 1740526363146986893 1740526363146953396  33497   464.0
149 1740526363147984852 1740526363147952781  32071  1426.0
150 1740526363148987422 1740526363148952832  34590  2519.0
151 1740526363149986358 1740526363149952944  33414  1176.0
